trial,msg_len,message_bits,digest_hex
0,69,110010100111111101010011101100001101101011001011110000010111101001000,21d21902609320e0ed17e0cf02d0060713430c00fc01e
1,115,0001000111001110011011010011010101111010110110000011011011111011010001000110010101001011111000100000011101011100100,0c117005d0911d001a06e1411b916c37a05e097174037
2,74,00011101000010101001101011010000100101011100101011001010110101000001010011,06102907926c1d101d17c26408421405527c0e200b065
3,75,011100110001000100001001011010101110000101100100110001111100111000011001011,1a60e20021a508d4f00f400b14f08a25a0080b103502e
4,84,011011101100100011010111010100010100101100011000011010011100001101010010000001100111,20013b00819602c01e02d0fc1811e71fc01d05a19523c
5,113,10011010110001100100011011011001101101010010101110011101001010001111111000010011100100011111010010001001011100010,0401ac1c314f0981f305d0790931a20ea17a238096033
6,93,010100010011110101111111000100011100000111001000110111101011111111011011110101100000000100010,0f70ae0f80a20aa3422180dc16413604f03b22207901c
7,111,000010011111010011101011111000100111110111011101110110101011111001100110001010011111110010110101001101101101111,16e06401b1180cb1c820700d10610011205f1242cd0e5
8,105,010100010011010010111011000110111000111000101100011001000001111100101101100110101101110000011100101100000,0ce19807f01844301805614d0d911808700731f0ca097
9,117,111100100111101111100000011111101001100000111111001000101000010011011011100011001110101000110100010100010110110001011,12e14306320612a3660eb00a12e09406f07e1210e90e1
10,103,0100000000101111111100101001110111111011111010011000000111000100010011001110010011010110101001101101100,1f305e08405521d0951bf0f10e30032de20104a018146
11,107,01100100111110111101010001100001000011010000011100000111111011110101110110011110101010100101110001111000000,0e109d1221a413b05609912e14e02922c16a0292f0035
12,80,01110000110000111111110111111011101001110111101010011111000001110111001000110011,0b009e1dd0552920a203007400428a0da0490224a002e
13,116,01010000100011111101110100100101001101101011110001101110110000111010100101111010100101111100010000000000100011100011,06d0591012561161601b103a09404a0c31dc0030333c7
14,126,111100100101101110111001000000100010111101011110111010001000101111000111000001010011000101010110010000000000100010000001101100,0c503011101400d1370482923a60a00c51801051e704a
15,84,101011001001000011001000010010100011000101110001110011110001101111001100110100101010,0362150e41043d01860640eb0d21960db06415d004019
16,120,010001011110110010100101100110100101111001101010100100100011100010011101101101111110111001110010100101110010001001011110,0b00b000a0ee0f13210020ee0030f10a03d003c17a185
17,77,00111110010111111100111111100001000110111110100111000111100000001000010001100,1f203710523023009502706e14d09f1720ec22d099030
18,70,0111000010010000000001011010000001011101110110001001001111011000000101,01b0c22cb0b80830830c92310170160bc04d2cc107290
19,98,11010100101001100011000011010000011011110111000000101010100010110000001001100011000100001001100101,08a42d0d907c03f1ae01d0573a80cb0830300080e4178
20,98,10110111001011101010011101111001100110110010001000110001100110011100111010011110100111010111000110,0320ee03006f0ab1791a908e0a615d14106502c2ed31b
21,111,100110111110001001000001001011100101001111011001010000111101111111110010011100110101111000111001110011010011101,03a10a0c80f606700b3b30c10e005307214334f0a6134
22,124,1011101001010111000010000110110000001010011100001001000011101101011000101001110001101011101010100110100000000011001111110000,3420b109513d02211b1240d133400b18207e0d90c6023
23,112,1100010011100001001000001100011100000101110100001110010111100000101110100000010011101100100111110010011001011101,07f1191081fe33f16f0230701650ea0e10271a00cc057
24,88,1001011001000010101001001000111100000111110110010110000010001001000001000110000001000110,05b0480400df37f02801523245419a03b04b10f07a04b
25,77,11011010000100011101110100000001011110110010011010110010001011011010001101111,03400603d16a0fb24607116321306400e07a0a910b450
26,89,10001100010100100010001110101111101111010110111001111010111100010100000011101110110010010,06d04310e3260400ef14f07d1520f632f0ae07113904b
27,96,010101111011111000011001111110100000110100101100111001101100110010111000100000110001010011111100,02302a15a1b811c0a20ab0fc16713c01b2090101ad2b0
28,72,000010101100110110001111000011011011110101001001010010011011101110110110,4b41c605905e4330df00b02a0c810601514801c036003
29,99,011101011000100000001011100111000010011001111100100010000101011110111111110000000011100101001001010,16b02f1be0f30570fc0df0b715d09e05903d1e73880c4
30,92,10111011101010110110010010101011001110110001001011111110010111000111111010110101001011000001,0281de0da0280cb0180ac18110010301a46a13c1c7057
31,71,10110100110000001011101101010100000001111000001110100010000000000101100,0300230ca31f0a60ad1e504b2880e41330e00930f2135
32,75,000001010101101001101110101111100101010000001111110100101111101000010111100,1c20b80420d40792184b502304d0c110f0900260c4169
33,128,11000001011100101101001101110011100100110001010111110111010110110001111100001000000100011111101001001001101100000000000010111101,0cf05616f1980663be0bd03e00102910a0310e30bf3a7
34,81,000001101001100000110100011101001011100111100101011001011101011000100111111011111,37e0310381a60161531180a303b04b1103181fd076028
35,80,11010110010101110100011001001011001110110110010001011110001101100000111010011001,1d412c09c17e01407809f03608d03618c0321321b7414
36,99,011011100110110100001010101110000010001110011000101111010000000000100001111010101010111001000000110,1b10a406e1fb09f3430381910af01712c0b302a0132ad
37,91,0101110111110110010011100110001010101100111111010000010001110110101101001111011111100011011,06223d37b02c20a02105707d08d1280c700b19023b05f
38,85,0101110100000101001111001100110010001000100011101010110100010111101010111010001110010,2de13805812507826a0430182170fb07b0d105a14012e
39,79,1011111100011010111001110001000111000011100100001101000111001001100100001110010,18d3690cc15f0521f000413b00705e20110f00f06616d
40,102,101101011010111101010101010000100001101111101001011100010100000011100111001111011110101011001011100111,16217713c0220870d008115c26203a05615d17104428a
41,73,1110110110111011010010001011110011100110110100011110001110000011001001110,34b1f411603f1582af03911c0120440370340f11780e0
42,118,0011010001100000010010000010110000110001100000000011001101001110101001110011011011110111100011101001000001100001000000,0e101a39d0f900a23f0b514d04002304b00b0f13cc0a6
43,111,110110010011111101111000001100111001000001011001100100001001001010001001010101011000111010101110010011110010001,1130c20b113e31b02b04104f0160cc0ca0461a80de3e6
44,103,0001010001000001000100000100001110101111001011101000111100100110100010011111111001010101000101001001110,27d1f90ba40b03f1150a40b70c705c0cd00b15802b090
45,113,01100000100101110011011010111001110010100011001010001010011000100010100000101000010111001001110101111000010100011,12e0a829610312219304716f08901407f21005c295002
46,119,00110100100110011110100101011001000101000100100001111000101010111001011111000010011010111111101111100011001110000101100,2181c100f0130c83521af0311190880271bc0551b9072
47,108,001110000010111001010011010111101000010001110011111100000100000011011101000100001000001001100010010010110111,0bc0e407b46c1e00a802203e0771140161ce20d0220ec
48,68,00101110010011110000101110011001100111001110000101111010000100001010,1ae07c00103f0d416d3dc1e509710f0351fe0f90a6013
49,120,000110110011100001000010100010011011010010110001001110111010100111010111111000110000011001110001110011100011101011111001,00e2490f801202f1bf09f14a07016d0b424d38403b023
50,109,0101010011010000110011000011110111010111110110001111110001000111011100101101010000100000110110100001101111101,19f63701d07802906702717700419b1701460370b4021
51,103,1100001111111110111000111101101011110111101010001001000011100001101101001101110111111110011101000011010,1060c70a40381fb0c016224433300d0310b90610e3182
52,92,10100110010010101100011100111000001011110101110000100101001111010101011110010001001000101000,1a239a02c0a406e0401340800240e71670453d80420b8
53,77,00011111110101100001111001110110000011011000111100100000001111101110011110011,07d1c905b0105140101392970291a114d01a07407e030
54,86,00010101011111100001001001111110100110111010101000101001100011010011010100011011011000,0d902833916e1150b710716c08d1582c701e0b8088006
55,103,1000000101001111001111000110110011000101000101010011101011111100111100110000111100001001100111000111110,1a407f1eb1a721308603101c2260780b81bc15d0ee001
56,87,100001110000111010010010101001010110011001100100101010100111001101111111110111101000111,01f2431a60572ba1251561c816905c02c01d052115128
57,92,01011100010100011011110010001001000011011111001110010111011110111101001001100010111010000101,0210ef18d2140180762d615e0243d307b09108b06c08c
58,91,0000110110001101110111111000011110010100111011100101001001010100110100110100001001101011001,23e0e402d09003b05c0330ca05b0d002113d0b473d00a
59,64,0101100100010101101001110000010100000011000000100010000010010001,03c30b1160110c10770f003b2c01550e72140c810304d
60,127,1111111001001110000100010011011001011110110100001001100111101001100101010001111011111110101010100110011010100011011110010001110,10a0cc00c21d2970f101b0390090ff07509a1f31b0264
61,85,1010001101111011001100100110000100011101011101110110101100100011100111110011110011001,26512e0950710120dd05a12400019e3710331f2138088
62,127,1011110001000111100011000101011011110010000001100100000011011001000000010111100011100111000101000111100100110111100100101001100,00c23008701d45407102703d06c0fd24107f1590f417a
63,79,0100001010010000110111010110010110000001011110100011110101010100100000100011000,07b0fa02d22901b1a809a0f202d62505f0af04a09909c
64,126,110101101100010010011100010011101010101010001001001111000110100111111001000010010001010101010000010010000000101100110110010101,0951490000d30540a104703824c34a21d2bb0b102708e
65,79,0001011011101110100011010011110101000101101001000100101011001101011110111111110,07720354b03302a13401f12302e06523617001209f078
66,69,000001010011111101100101000101101010011110001000000010010000100001011,2960c30dd01216815307c01504e0bd09d08e2123a6076
67,125,11110001100011100011100101001001001000001000010000011010011010111111100010010110000000011010000000011111000010110100001000011,00702739300601d0c60f204a06749c00b16408118119e
68,69,100100001000111111100000110001000101101110110011110010010000000011110,3a227b1110cc03605a02c02e0760781072b00650fb10f
69,122,10011000011011101110010101000000011101101100001110010110100000110110001101011100100010111101111111000100101100111101001011,07b08104e00f0910d708d04214422b1991ad1cd18b25b
70,68,11010101110100111011101110001001011001010001000001101111011101110010,08f0d40551a00d337e03f09e10e02c2d403810d1fb024
71,73,1100000110010001001000111001101111000011101010001000100001101010000111010,0e001052701c0640420490b339e15e03b125038026169
72,115,1000110110101010001011111010101101001101111001101110001101100111101100111001111010101111110011111111010111010100110,02221b12d06035e0c10101990ab02a00f0dc0b919c251
73,95,01000001101101110000111110000100011000101110001000110111101111101100101110011000110001000100100,1190570ac00508d39309903706e31306e15228a0ec02f
74,111,100011110110111100011000100010000011111010010000110011010001000010011011111000010011100100101011101110000111110,05a0f61a91b104928627107302a0291810c506516013f
75,94,1001100011110100110001100000001101010101010101011100011010100000000100110111000111100110010010,1183440f90b010d0941a70a908702a04602f23e189117
