trial,msg_len,flip_pos,beta,alpha,p_percent
0,128,18,64,63,35.55555555555556
1,128,33,65,56,36.11111111111111
2,128,51,56,65,31.11111111111111
3,128,61,69,60,38.333333333333336
4,128,12,78,61,43.333333333333336
5,128,125,74,56,41.11111111111111
6,128,106,78,56,43.333333333333336
7,128,112,72,62,40.0
8,128,37,63,69,35.0
9,128,24,72,65,40.0
10,128,88,80,62,44.44444444444444
11,128,127,73,59,40.55555555555556
12,128,93,69,61,38.333333333333336
13,128,39,70,56,38.88888888888889
14,128,4,81,63,45.0
15,128,28,64,63,35.55555555555556
16,128,115,68,66,37.77777777777778
17,128,85,69,70,38.333333333333336
18,128,36,73,61,40.55555555555556
19,128,19,60,58,33.33333333333333
20,128,83,65,57,36.11111111111111
21,128,52,64,64,35.55555555555556
22,128,39,60,58,33.33333333333333
23,128,95,63,72,35.0
24,128,120,59,58,32.77777777777778
25,128,100,74,64,41.11111111111111
26,128,5,72,63,40.0
27,128,112,79,58,43.888888888888886
28,128,3,75,58,41.66666666666667
29,128,53,62,64,34.44444444444444
30,128,78,62,63,34.44444444444444
31,128,103,59,62,32.77777777777778
32,128,69,67,61,37.22222222222222
33,128,119,78,62,43.333333333333336
34,128,51,74,60,41.11111111111111
35,128,44,66,70,36.666666666666664
36,128,50,68,68,37.77777777777778
37,128,124,73,63,40.55555555555556
38,128,3,67,56,37.22222222222222
39,128,14,69,61,38.333333333333336
40,128,29,71,58,39.44444444444444
41,128,14,74,58,41.11111111111111
42,128,69,71,61,39.44444444444444
43,128,53,57,68,31.666666666666664
44,128,59,78,65,43.333333333333336
45,128,45,58,68,32.22222222222222
46,128,27,63,74,35.0
47,128,88,70,62,38.88888888888889
48,128,76,65,58,36.11111111111111
49,128,123,68,55,37.77777777777778
50,128,110,67,65,37.22222222222222
51,128,10,58,65,32.22222222222222
52,128,106,71,62,39.44444444444444
53,128,97,77,57,42.77777777777778
54,128,114,67,63,37.22222222222222
55,128,109,77,58,42.77777777777778
56,128,40,70,59,38.88888888888889
57,128,58,71,67,39.44444444444444
58,128,115,80,54,44.44444444444444
59,128,88,70,59,38.88888888888889
60,128,10,67,61,37.22222222222222
61,128,66,78,68,43.333333333333336
62,128,122,70,68,38.88888888888889
63,128,58,82,67,45.55555555555556
64,128,74,66,68,36.666666666666664
65,128,101,70,60,38.88888888888889
66,128,56,63,56,35.0
67,128,76,68,70,37.77777777777778
68,128,109,63,65,35.0
69,128,117,68,64,37.77777777777778
70,128,13,73,58,40.55555555555556
71,128,3,69,56,38.333333333333336
72,128,68,76,58,42.22222222222222
73,128,80,85,60,47.22222222222222
74,128,85,75,59,41.66666666666667
75,128,39,64,66,35.55555555555556
76,128,120,74,73,41.11111111111111
77,128,71,65,76,36.11111111111111
78,128,21,69,67,38.333333333333336
79,128,86,62,59,34.44444444444444
80,128,28,67,56,37.22222222222222
81,128,44,69,59,38.333333333333336
82,128,105,77,60,42.77777777777778
83,128,52,66,68,36.666666666666664
84,128,75,82,54,45.55555555555556
85,128,28,72,59,40.0
86,128,41,64,62,35.55555555555556
87,128,18,76,61,42.22222222222222
88,128,0,71,63,39.44444444444444
89,128,109,70,65,38.88888888888889
90,128,67,63,66,35.0
91,128,110,67,56,37.22222222222222
92,128,87,73,73,40.55555555555556
93,128,99,69,65,38.333333333333336
94,128,19,67,63,37.22222222222222
95,128,41,73,66,40.55555555555556
96,128,112,65,61,36.11111111111111
97,128,87,74,69,41.11111111111111
98,128,76,65,66,36.11111111111111
99,128,26,59,61,32.77777777777778
100,128,81,68,58,37.77777777777778
101,128,98,76,59,42.22222222222222
102,128,41,63,63,35.0
103,128,32,67,55,37.22222222222222
104,128,19,70,63,38.88888888888889
105,128,120,72,63,40.0
106,128,68,59,72,32.77777777777778
107,128,41,67,67,37.22222222222222
108,128,125,61,65,33.88888888888889
109,128,32,78,54,43.333333333333336
110,128,98,64,62,35.55555555555556
111,128,49,68,65,37.77777777777778
112,128,91,74,74,41.11111111111111
113,128,57,76,69,42.22222222222222
114,128,74,73,62,40.55555555555556
115,128,113,66,61,36.666666666666664
116,128,57,76,63,42.22222222222222
117,128,28,63,73,35.0
118,128,118,76,64,42.22222222222222
119,128,82,73,62,40.55555555555556
120,128,105,59,61,32.77777777777778
121,128,106,65,67,36.11111111111111
122,128,54,57,63,31.666666666666664
123,128,50,69,59,38.333333333333336
124,128,116,62,66,34.44444444444444
