trial,msg_len,flip_pos,beta,alpha,p_percent
0,128,18,82,28,45.55555555555556
1,128,33,83,23,46.111111111111114
2,128,51,82,30,45.55555555555556
3,128,61,78,34,43.333333333333336
4,128,12,93,28,51.66666666666667
5,128,125,88,22,48.888888888888886
6,128,106,81,22,45.0
7,128,112,91,29,50.55555555555556
8,128,37,83,39,46.111111111111114
9,128,24,90,34,50.0
10,128,88,90,26,50.0
11,128,127,85,30,47.22222222222222
12,128,93,86,26,47.77777777777778
13,128,39,86,26,47.77777777777778
14,128,4,86,30,47.77777777777778
15,128,28,82,35,45.55555555555556
16,128,115,82,39,45.55555555555556
17,128,85,85,39,47.22222222222222
18,128,36,89,29,49.44444444444444
19,128,19,95,25,52.77777777777778
20,128,83,88,25,48.888888888888886
21,128,52,87,33,48.333333333333336
22,128,39,80,24,44.44444444444444
23,128,95,78,44,43.333333333333336
24,128,120,79,29,43.888888888888886
25,128,100,97,31,53.888888888888886
26,128,5,86,29,47.77777777777778
27,128,112,90,24,50.0
28,128,3,90,23,50.0
29,128,53,74,31,41.11111111111111
30,128,78,87,32,48.333333333333336
31,128,103,80,29,44.44444444444444
32,128,69,77,25,42.77777777777778
33,128,119,87,32,48.333333333333336
34,128,51,89,25,49.44444444444444
35,128,44,100,35,55.55555555555556
36,128,50,77,31,42.77777777777778
37,128,124,84,31,46.666666666666664
38,128,3,81,22,45.0
39,128,14,91,30,50.55555555555556
40,128,29,77,27,42.77777777777778
41,128,14,88,24,48.888888888888886
42,128,69,84,26,46.666666666666664
43,128,53,88,34,48.888888888888886
44,128,59,84,36,46.666666666666664
45,128,45,80,34,44.44444444444444
46,128,27,92,38,51.11111111111111
47,128,88,72,31,40.0
48,128,76,85,25,47.22222222222222
49,128,123,79,20,43.888888888888886
50,128,110,80,32,44.44444444444444
51,128,10,86,38,47.77777777777778
52,128,106,86,32,47.77777777777778
53,128,97,78,22,43.333333333333336
54,128,114,84,36,46.666666666666664
55,128,109,88,27,48.888888888888886
56,128,40,93,27,51.66666666666667
57,128,58,81,33,45.0
58,128,115,83,23,46.111111111111114
59,128,88,85,30,47.22222222222222
60,128,10,90,34,50.0
61,128,66,82,37,45.55555555555556
62,128,122,75,37,41.66666666666667
63,128,58,89,35,49.44444444444444
64,128,74,75,44,41.66666666666667
65,128,101,74,29,41.11111111111111
66,128,56,91,21,50.55555555555556
67,128,76,97,36,53.888888888888886
68,128,109,86,32,47.77777777777778
69,128,117,76,33,42.22222222222222
70,128,13,88,28,48.888888888888886
71,128,3,88,20,48.888888888888886
72,128,68,96,29,53.333333333333336
73,128,80,100,29,55.55555555555556
74,128,85,82,22,45.55555555555556
75,128,39,83,32,46.111111111111114
76,128,120,83,44,46.111111111111114
77,128,71,83,49,46.111111111111114
78,128,21,81,35,45.0
79,128,86,85,24,47.22222222222222
80,128,28,82,22,45.55555555555556
81,128,44,89,26,49.44444444444444
82,128,105,85,30,47.22222222222222
83,128,52,81,37,45.0
84,128,75,85,23,47.22222222222222
85,128,28,79,26,43.888888888888886
86,128,41,105,28,58.333333333333336
87,128,18,77,26,42.77777777777778
88,128,0,79,32,43.888888888888886
89,128,109,74,32,41.11111111111111
90,128,67,91,33,50.55555555555556
91,128,110,84,22,46.666666666666664
92,128,87,90,45,50.0
93,128,99,94,34,52.22222222222223
94,128,19,86,30,47.77777777777778
95,128,41,87,35,48.333333333333336
96,128,112,92,26,51.11111111111111
97,128,87,74,36,41.11111111111111
98,128,76,79,29,43.888888888888886
99,128,26,94,29,52.22222222222223
100,128,81,89,24,49.44444444444444
101,128,98,75,26,41.66666666666667
102,128,41,89,28,49.44444444444444
103,128,32,87,23,48.333333333333336
104,128,19,84,30,46.666666666666664
105,128,120,80,31,44.44444444444444
106,128,68,83,36,46.111111111111114
107,128,41,97,35,53.888888888888886
108,128,125,86,34,47.77777777777778
109,128,32,88,20,48.888888888888886
110,128,98,84,28,46.666666666666664
111,128,49,84,35,46.666666666666664
112,128,91,76,52,42.22222222222222
113,128,57,82,34,45.55555555555556
114,128,74,88,29,48.888888888888886
115,128,113,74,26,41.11111111111111
116,128,57,85,32,47.22222222222222
117,128,28,79,42,43.888888888888886
118,128,118,92,29,51.11111111111111
119,128,82,85,28,47.22222222222222
120,128,105,86,31,47.77777777777778
121,128,106,88,36,48.888888888888886
122,128,54,82,31,45.55555555555556
123,128,50,85,27,47.22222222222222
124,128,116,74,35,41.11111111111111
125,128,87,68,26,37.77777777777778
126,128,68,80,32,44.44444444444444
127,128,125,103,37,57.22222222222222
128,128,19,81,29,45.0
129,128,11,82,27,45.55555555555556
130,128,33,84,21,46.666666666666664
131,128,84,78,44,43.333333333333336
132,128,121,87,36,48.333333333333336
133,128,92,84,29,46.666666666666664
134,128,55,84,37,46.666666666666664
135,128,48,81,34,45.0
136,128,64,85,28,47.22222222222222
137,128,34,77,41,42.77777777777778
138,128,18,86,43,47.77777777777778
139,128,105,78,23,43.333333333333336
140,128,126,81,31,45.0
141,128,94,81,42,45.0
142,128,90,81,23,45.0
143,128,112,92,40,51.11111111111111
144,128,10,74,27,41.11111111111111
145,128,29,98,34,54.44444444444444
146,128,32,71,33,39.44444444444444
147,128,6,85,33,47.22222222222222
148,128,17,91,34,50.55555555555556
149,128,59,86,23,47.77777777777778
150,128,41,95,25,52.77777777777778
151,128,31,85,48,47.22222222222222
152,128,50,87,38,48.333333333333336
153,128,64,83,44,46.111111111111114
154,128,97,92,34,51.11111111111111
155,128,38,79,27,43.888888888888886
156,128,62,79,24,43.888888888888886
157,128,31,91,33,50.55555555555556
158,128,104,89,32,49.44444444444444
159,128,49,86,27,47.77777777777778
160,128,39,95,24,52.77777777777778
161,128,24,84,32,46.666666666666664
162,128,1,88,28,48.888888888888886
